,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.005205499999874519,9.0,150,0.4,1000
1,1,0.03200229999993098,12.0,150,0.4,1000
2,2,0.048645799999803785,13.0,150,0.4,1000
3,3,0.06940919999988182,13.0,150,0.4,1000
4,4,0.09047199999986333,13.0,150,0.4,1000
5,5,0.10832179999988512,13.0,150,0.4,1000
6,6,0.1268244999998842,14.0,150,0.4,1000
7,7,0.14954149999994115,15.0,150,0.4,1000
8,8,0.1938231999999971,15.0,150,0.4,1000
9,9,0.21655679999980748,16.0,150,0.4,1000
10,10,0.2358028999999533,17.0,150,0.4,1000
11,11,0.2609938999999031,17.0,150,0.4,1000
12,12,0.2835846999998921,18.0,150,0.4,1000
13,13,0.30216239999981553,20.0,150,0.4,1000
14,14,0.3325150999999096,20.0,150,0.4,1000
15,15,0.35364579999986745,20.0,150,0.4,1000
16,16,0.373565299999882,24.0,150,0.4,1000
17,17,0.39308409999989635,24.0,150,0.4,1000
18,18,0.41451329999995323,24.0,150,0.4,1000
19,19,0.4356279999999515,24.0,150,0.4,1000
20,20,0.45688049999989744,25.0,150,0.4,1000
21,21,0.4838730999999825,25.0,150,0.4,1000
22,22,0.5017761999999948,25.0,150,0.4,1000
23,23,0.5222406999998839,26.0,150,0.4,1000
24,24,0.5510044999998627,26.0,150,0.4,1000
25,25,0.5664294999999129,26.0,150,0.4,1000
26,26,0.5826688999998169,26.0,150,0.4,1000
27,27,0.6072553999999855,28.0,150,0.4,1000
28,28,0.6230475999998362,28.0,150,0.4,1000
29,29,0.6476303999997981,28.0,150,0.4,1000
30,30,0.6705948999999691,30.0,150,0.4,1000
31,31,0.6913058000000092,30.0,150,0.4,1000
32,32,0.7079919999998765,30.0,150,0.4,1000
33,33,0.7278283999999076,30.0,150,0.4,1000
34,34,0.7513683999998193,30.0,150,0.4,1000
35,35,0.7709590999998,30.0,150,0.4,1000
36,36,0.7869764999998097,31.0,150,0.4,1000
37,37,0.809827599999835,31.0,150,0.4,1000
38,38,0.8313137000000097,31.0,150,0.4,1000
39,39,0.8506583999999293,31.0,150,0.4,1000
40,40,0.8670487999997931,31.0,150,0.4,1000
41,41,0.882642899999837,33.0,150,0.4,1000
42,42,0.8985877000000073,38.0,150,0.4,1000
43,43,0.9243562999999995,38.0,150,0.4,1000
44,44,0.9406951999999364,39.0,150,0.4,1000
45,45,0.9579261999999744,39.0,150,0.4,1000
46,46,0.9797348999998121,39.0,150,0.4,1000
47,47,1.0097364999999172,40.0,150,0.4,1000
48,48,1.037971299999981,42.0,150,0.4,1000
49,49,1.055383299999903,42.0,150,0.4,1000
