,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.004235799999833034,11.0,False,100,0.25,1000
1,1,2.35493120000001,11.0,False,100,0.25,1000
2,2,5.400947499999802,11.0,False,100,0.25,1000
3,3,8.497560000000021,11.0,False,100,0.25,1000
4,4,11.457047499999817,13.0,False,100,0.25,1000
5,5,15.040293399999882,13.0,False,100,0.25,1000
6,6,18.480994399999872,15.0,False,100,0.25,1000
7,7,21.124825699999974,15.0,False,100,0.25,1000
8,8,23.58612489999996,15.0,False,100,0.25,1000
9,9,26.202870500000017,15.0,False,100,0.25,1000
10,10,28.54493639999987,15.0,False,100,0.25,1000
11,11,30.729364999999916,15.0,False,100,0.25,1000
12,12,32.873795099999825,15.0,False,100,0.25,1000
13,13,35.024399299999914,15.0,False,100,0.25,1000
14,14,37.18949989999987,15.0,False,100,0.25,1000
15,15,39.27722559999984,15.0,False,100,0.25,1000
16,16,41.89126479999982,15.0,False,100,0.25,1000
17,17,44.0341113999998,15.0,False,100,0.25,1000
18,18,46.126587399999835,15.0,False,100,0.25,1000
19,19,48.2964414999999,15.0,False,100,0.25,1000
20,20,50.47402739999984,15.0,False,100,0.25,1000
21,21,52.62117649999982,15.0,False,100,0.25,1000
22,22,54.792919600000005,15.0,False,100,0.25,1000
23,23,56.87073399999986,15.0,False,100,0.25,1000
24,24,59.056275199999845,15.0,False,100,0.25,1000
25,25,61.19573409999998,15.0,False,100,0.25,1000
26,26,63.3280608,15.0,False,100,0.25,1000
27,27,66.42189050000002,15.0,False,100,0.25,1000
28,28,68.61655489999998,15.0,False,100,0.25,1000
29,29,70.73662300000001,15.0,False,100,0.25,1000
30,30,73.81211609999991,15.0,False,100,0.25,1000
31,31,77.56007139999997,15.0,False,100,0.25,1000
32,32,80.9449017999998,15.0,False,100,0.25,1000
33,33,84.15080119999993,15.0,False,100,0.25,1000
34,34,88.39005599999996,15.0,False,100,0.25,1000
35,35,94.27525939999987,15.0,False,100,0.25,1000
36,36,99.39854609999998,15.0,False,100,0.25,1000
37,37,102.0381413,15.0,False,100,0.25,1000
38,38,104.30895629999986,15.0,False,100,0.25,1000
39,39,106.52272679999987,15.0,False,100,0.25,1000
40,40,108.72524989999988,15.0,False,100,0.25,1000
41,41,112.03956679999988,15.0,False,100,0.25,1000
42,42,114.31711739999992,15.0,False,100,0.25,1000
43,43,116.49145509999994,15.0,False,100,0.25,1000
44,44,118.8404203,15.0,False,100,0.25,1000
45,45,121.06294630000002,15.0,False,100,0.25,1000
46,46,123.2240648999998,15.0,False,100,0.25,1000
47,47,125.41199269999993,15.0,False,100,0.25,1000
48,48,127.61297019999984,15.0,False,100,0.25,1000
49,49,129.9684193999999,15.0,False,100,0.25,1000
50,50,132.3793596999999,15.0,False,100,0.25,1000
51,51,134.94843909999986,15.0,False,100,0.25,1000
52,52,137.56050140000002,15.0,False,100,0.25,1000
53,53,140.23483420000002,15.0,False,100,0.25,1000
54,54,142.707856,15.0,False,100,0.25,1000
55,55,145.0928816999999,15.0,False,100,0.25,1000
56,56,147.27736849999997,15.0,False,100,0.25,1000
57,57,149.46286429999986,15.0,False,100,0.25,1000
58,58,151.59209959999998,15.0,False,100,0.25,1000
59,59,153.71941079999988,15.0,False,100,0.25,1000
60,60,155.85509739999998,15.0,False,100,0.25,1000
61,61,157.95396159999996,15.0,False,100,0.25,1000
62,62,160.08777959999998,15.0,False,100,0.25,1000
63,63,162.44218909999995,15.0,False,100,0.25,1000
64,64,164.88896799999998,15.0,False,100,0.25,1000
65,65,167.0556357999999,15.0,False,100,0.25,1000
66,66,169.3869126999998,15.0,False,100,0.25,1000
67,67,171.5585689999998,15.0,False,100,0.25,1000
68,68,173.7534607,15.0,False,100,0.25,1000
69,69,175.95607369999993,15.0,False,100,0.25,1000
70,70,178.14852989999986,15.0,False,100,0.25,1000
71,71,180.2836613999998,15.0,False,100,0.25,1000
72,72,182.4320780999999,15.0,False,100,0.25,1000
73,73,184.5921707,15.0,False,100,0.25,1000
74,74,186.71549959999993,15.0,False,100,0.25,1000
75,75,188.8325441999998,15.0,False,100,0.25,1000
76,76,191.02574929999992,15.0,False,100,0.25,1000
77,77,193.1044084,15.0,False,100,0.25,1000
78,78,195.70415819999994,15.0,False,100,0.25,1000
79,79,198.3160358,15.0,False,100,0.25,1000
80,80,200.96165380000002,15.0,False,100,0.25,1000
81,81,203.4862114,15.0,False,100,0.25,1000
82,82,205.83071289999998,15.0,False,100,0.25,1000
83,83,207.97416179999982,15.0,False,100,0.25,1000
84,84,210.1720281999999,15.0,False,100,0.25,1000
85,85,212.2740326999999,15.0,False,100,0.25,1000
86,86,214.40253959999995,15.0,False,100,0.25,1000
87,87,216.5545482,15.0,False,100,0.25,1000
88,88,218.66982910000002,15.0,False,100,0.25,1000
89,89,220.87512289999995,15.0,False,100,0.25,1000
90,90,223.27597659999992,15.0,False,100,0.25,1000
91,91,225.72444339999993,15.0,False,100,0.25,1000
92,92,227.85703709999984,15.0,False,100,0.25,1000
93,93,230.0336852999999,15.0,False,100,0.25,1000
94,94,232.2073664999998,15.0,False,100,0.25,1000
95,95,234.41998669999998,15.0,False,100,0.25,1000
96,96,236.521477,15.0,False,100,0.25,1000
97,97,239.00232399999982,15.0,False,100,0.25,1000
98,98,241.15240369999992,15.0,False,100,0.25,1000
99,99,243.40065659999982,15.0,False,100,0.25,1000
100,100,245.9228810999998,15.0,False,100,0.25,1000
101,101,248.1303355,15.0,False,100,0.25,1000
102,102,250.34107529999983,15.0,False,100,0.25,1000
103,103,252.5134837999999,15.0,False,100,0.25,1000
104,104,254.82065139999986,15.0,False,100,0.25,1000
105,105,257.95915809999997,15.0,False,100,0.25,1000
106,106,260.73812469999984,15.0,False,100,0.25,1000
107,107,263.3639271999998,10.0,False,100,0.5,1000
108,108,0.002129899999999907,11.0,False,100,0.5,1000
109,109,2.914838099999997,11.0,False,100,0.5,1000
110,110,5.196857499999851,11.0,False,100,0.5,1000
111,111,7.493860699999914,15.0,False,100,0.5,1000
112,112,9.665839499999947,15.0,False,100,0.5,1000
113,113,11.81839459999992,15.0,False,100,0.5,1000
114,114,14.267838499999925,15.0,False,100,0.5,1000
115,115,16.62208050000004,15.0,False,100,0.5,1000
116,116,18.882401699999946,15.0,False,100,0.5,1000
117,117,21.450792800000045,15.0,False,100,0.5,1000
118,118,23.600583899999947,15.0,False,100,0.5,1000
119,119,25.725599899999906,15.0,False,100,0.5,1000
120,120,28.000665300000037,15.0,False,100,0.5,1000
121,121,30.33601099999987,15.0,False,100,0.5,1000
122,122,32.77057139999988,15.0,False,100,0.5,1000
123,123,35.13980070000002,15.0,False,100,0.5,1000
124,124,37.5825898999999,15.0,False,100,0.5,1000
125,125,39.826106399999844,15.0,False,100,0.5,1000
126,126,42.0662769999999,15.0,False,100,0.5,1000
127,127,44.21838709999997,15.0,False,100,0.5,1000
128,128,46.388423399999965,15.0,False,100,0.5,1000
129,129,48.688192399999934,15.0,False,100,0.5,1000
130,130,51.45483020000006,15.0,False,100,0.5,1000
131,131,54.06106520000003,15.0,False,100,0.5,1000
132,132,56.960294100000056,15.0,False,100,0.5,1000
133,133,59.986678900000015,15.0,False,100,0.5,1000
134,134,62.69743059999996,15.0,False,100,0.5,1000
135,135,64.98747319999984,15.0,False,100,0.5,1000
