,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00011490000008507195,2.0,1,1000
1,1,0.0009895000000597065,2.0,1,1000
2,2,0.0010886000000027707,2.0,1,1000
3,3,0.0011835999999902924,2.0,1,1000
4,4,0.0012709000000086235,2.0,1,1000
5,5,0.0013538000000608008,2.0,1,1000
6,6,0.0014346000000386994,2.0,1,1000
7,7,0.0015162000000827902,2.0,1,1000
8,8,0.0015839999999798238,2.0,1,1000
9,9,0.0016669000000320011,2.0,1,1000
10,10,0.0017519000000447704,2.0,1,1000
11,11,0.0018342000000757253,2.0,1,1000
12,12,0.0019169000000829328,2.0,1,1000
13,13,0.002003199999990102,2.0,1,1000
14,14,0.0020878000000266184,2.0,1,1000
15,15,0.002179000000069209,2.0,1,1000
16,16,0.0022619000000076994,2.0,1,1000
17,17,0.0023422000000437038,2.0,1,1000
18,18,0.002425700000003417,2.0,1,1000
19,19,0.002509700000018711,2.0,1,1000
20,20,0.00259470000003148,2.0,1,1000
21,21,0.0026760000000649597,2.0,1,1000
22,22,0.002757900000005975,1.0,1,1000
23,23,0.002839699999981349,1.0,1,1000
24,24,0.0029192000000648477,1.0,1,1000
25,25,0.0031195999999908963,1.0,1,1000
26,26,0.003241000000002714,1.0,1,1000
27,27,0.0033313000000134707,1.0,1,1000
28,28,0.0034186000000318018,1.0,1,1000
29,29,0.0034987000000228363,1.0,1,1000
30,30,0.0035816000000750137,1.0,1,1000
31,31,0.003665700000055949,1.0,1,1000
32,32,0.003748900000005051,1.0,1,1000
33,33,0.003829100000075414,1.0,1,1000
34,34,0.003912399999990157,1.0,1,1000
35,35,0.003996000000029198,1.0,1,1000
36,36,0.004079799999999523,1.0,1,1000
37,37,0.00419350000004215,1.0,1,1000
38,38,0.00428470000008474,1.0,1,1000
39,39,0.004381000000080348,1.0,1,1000
40,40,0.00447600000006787,1.0,1,1000
41,41,0.004596999999989748,1.0,1,1000
42,42,0.004689700000085395,1.0,1,1000
43,43,0.004783599999996113,1.0,1,1000
44,44,0.004883800000015981,1.0,1,1000
45,45,0.0050066000000015265,1.0,1,1000
46,46,0.005129600000032042,1.0,1,1000
47,47,0.005253799999991315,1.0,1,1000
48,48,0.005372400000055677,1.0,1,1000
49,49,0.005491600000027574,1.0,1,1000
50,50,0.005611300000055053,1.0,1,1000
51,51,0.005732800000032512,1.0,1,1000
52,52,0.005850600000030681,1.0,1,1000
53,53,0.005974700000024313,1.0,1,1000
54,54,0.006100400000036643,1.0,1,1000
55,55,0.0062229000000115775,1.0,1,1000
56,56,0.006341099999986,1.0,1,1000
57,57,0.006461100000024089,1.0,1,1000
58,58,0.006583400000067741,1.0,1,1000
59,59,0.006752300000016476,1.0,1,1000
60,60,0.006861600000092949,1.0,1,1000
61,61,0.00698890000001029,1.0,1,1000
