,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.017354399999021553,26.0,150,0.4,2048
1,1,0.049913099996047094,26.0,150,0.4,2048
2,2,0.13242629999876954,26.0,150,0.4,2048
3,3,0.1934343999964767,26.0,150,0.4,2048
4,4,0.21779650000098627,26.0,150,0.4,2048
5,5,0.26111369999853196,26.0,150,0.4,2048
6,6,0.31272460000036517,26.0,150,0.4,2048
7,7,0.3463419999970938,26.0,150,0.4,2048
8,8,0.381927700000233,26.0,150,0.4,2048
9,9,0.42801419999887,27.0,150,0.4,2048
10,10,0.47342960000241874,27.0,150,0.4,2048
11,11,0.5124142999993637,27.0,150,0.4,2048
12,12,0.5540844999995898,27.0,150,0.4,2048
13,13,0.5951120999961859,27.0,150,0.4,2048
14,14,0.6379893999983324,27.0,150,0.4,2048
15,15,0.6789610999985598,27.0,150,0.4,2048
16,16,0.7202844999992521,27.0,150,0.4,2048
17,17,0.7773416999989422,27.0,150,0.4,2048
18,18,0.8171727000008104,27.0,150,0.4,2048
19,19,0.8637689999959548,27.0,150,0.4,2048
20,20,0.900384499997017,27.0,150,0.4,2048
21,21,0.9336439999970025,27.0,150,0.4,2048
22,22,0.977158599998802,27.0,150,0.4,2048
23,23,1.0151671999992686,27.0,150,0.4,2048
24,24,1.055944100000488,27.0,150,0.4,2048
25,25,1.1073681999987457,27.0,150,0.4,2048
26,26,1.170509099996707,27.0,150,0.4,2048
27,27,1.2163367999964976,27.0,150,0.4,2048
28,28,1.2656267999991542,27.0,150,0.4,2048
29,29,1.3100754999977653,27.0,150,0.4,2048
30,30,1.3846100000009756,27.0,150,0.4,2048
31,31,1.4504767999969772,27.0,150,0.4,2048
32,32,1.5078547000011895,28.0,150,0.4,2048
33,33,1.6095788000020548,28.0,150,0.4,2048
34,34,1.6720086999994237,28.0,150,0.4,2048
35,35,1.7221489000003203,28.0,150,0.4,2048
36,36,1.7844998000000487,28.0,150,0.4,2048
37,37,1.845351700001629,28.0,150,0.4,2048
38,38,1.9078115000011167,28.0,150,0.4,2048
39,39,2.001098299995647,28.0,150,0.4,2048
40,40,2.073272100002214,28.0,150,0.4,2048
41,41,2.189244000001054,28.0,150,0.4,2048
42,42,2.2675786999971024,28.0,150,0.4,2048
43,43,2.3247936999978265,28.0,150,0.4,2048
44,44,2.3765855000019656,28.0,150,0.4,2048
45,45,2.4233880000028876,28.0,150,0.4,2048
46,46,2.4680204999967827,28.0,150,0.4,2048
47,47,2.5172443999981624,28.0,150,0.4,2048
48,48,2.564244000001054,28.0,150,0.4,2048
49,49,2.615163399997982,28.0,150,0.4,2048
50,50,2.6581547999958275,28.0,150,0.4,2048
51,51,2.6970481000025757,28.0,150,0.4,2048
52,52,2.730125299996871,28.0,150,0.4,2048
53,53,2.767122400000517,28.0,150,0.4,2048
54,54,2.8079074999986915,28.0,150,0.4,2048
55,55,2.848945099998673,28.0,150,0.4,2048
56,56,2.927303500000562,28.0,150,0.4,2048
57,57,2.9723182000016095,28.0,150,0.4,2048
58,58,3.02875949999725,28.0,150,0.4,2048
59,59,3.076736600000004,28.0,150,0.4,2048
60,60,3.120975099998759,28.0,150,0.4,2048
61,61,3.177739999999176,28.0,150,0.4,2048
62,62,3.23477119999734,28.0,150,0.4,2048
63,63,3.316348399996059,28.0,150,0.4,2048
64,64,3.4055063999985578,28.0,150,0.4,2048
65,65,3.5173568000027444,28.0,150,0.4,2048
66,66,3.5831171000027098,28.0,150,0.4,2048
67,67,3.6896655000018654,28.0,150,0.4,2048
68,68,3.7700363999974797,28.0,150,0.4,2048
69,69,3.867352799999935,28.0,150,0.4,2048
70,70,3.9564998999994714,28.0,150,0.4,2048
71,71,4.027163300001121,28.0,150,0.4,2048
72,72,4.108426699996926,28.0,150,0.4,2048
73,73,4.212762700000894,28.0,150,0.4,2048
74,74,4.284027000001515,28.0,150,0.4,2048
75,75,4.345589600001404,28.0,150,0.4,2048
76,76,4.391858199996932,28.0,150,0.4,2048
77,77,4.442449000001943,28.0,150,0.4,2048
78,78,4.496803000001819,28.0,150,0.4,2048
79,79,4.546569500002079,28.0,150,0.4,2048
80,80,4.609239199999138,28.0,150,0.4,2048
81,81,4.705537399997411,28.0,150,0.4,2048
82,82,4.777582499998971,28.0,150,0.4,2048
83,83,4.826697800002876,28.0,150,0.4,2048
84,84,4.872572599997511,28.0,150,0.4,2048
85,85,4.916575999995985,28.0,150,0.4,2048
86,86,4.9620461000013165,28.0,150,0.4,2048
87,87,5.004064799999469,28.0,150,0.4,2048
88,88,5.047329499997431,28.0,150,0.4,2048
89,89,5.089440600000671,28.0,150,0.4,2048
90,90,5.177926800002751,28.0,150,0.4,2048
91,91,5.237539100002323,28.0,150,0.4,2048
92,92,5.293447800002468,28.0,150,0.4,2048
93,93,5.340642299997853,28.0,150,0.4,2048
94,94,5.38459519999742,28.0,150,0.4,2048
95,95,5.430649499998253,28.0,150,0.4,2048
96,96,5.468263900002057,28.0,150,0.4,2048
97,97,5.510917400002654,28.0,150,0.4,2048
98,98,5.560854199997266,28.0,150,0.4,2048
99,99,5.6069164000000455,28.0,150,0.4,2048
100,100,5.653496400002041,28.0,150,0.4,2048
101,101,5.692591300001368,28.0,150,0.4,2048
