,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,23.0,0.0006123999992269091,"[5, 3, 4, 0, 7, 1, 3, 5]",25,512,0
1,1,23.0,0.0017311999999947147,"[5, 3, 4, 0, 7, 1, 3, 5]",25,512,0
2,2,23.0,0.02015690000007453,"[5, 3, 4, 0, 7, 1, 3, 5]",25,512,0
3,4,23.0,0.03550279999944905,"[5, 3, 4, 0, 7, 1, 3, 5]",25,512,0
4,8,24.0,0.0522832999995444,"[5, 2, 4, 0, 7, 1, 3, 5]",25,512,0
5,16,24.0,0.09298589999889373,"[5, 2, 4, 0, 7, 1, 3, 5]",25,512,0
6,32,24.0,0.10526050000044052,"[5, 2, 4, 0, 7, 1, 3, 5]",25,512,0
7,64,26.0,0.12048680000043532,"[5, 2, 4, 7, 7, 1, 3, 6]",25,512,0
8,128,28.0,0.14369520000036573,"[5, 2, 0, 7, 4, 1, 3, 6]",25,512,0
9,256,28.0,0.1700634999997419,"[5, 2, 0, 7, 4, 1, 3, 6]",25,512,0
10,512,28.0,0.23282189999918046,"[5, 2, 0, 7, 4, 1, 3, 6]",25,512,0
11,0,20.0,0.25134309999884863,"[4, 6, 1, 0, 1, 4, 1, 3]",25,512,1
12,1,22.0,0.25287290000051144,"[4, 6, 1, 0, 1, 4, 0, 3]",25,512,1
13,2,22.0,0.26731110000037006,"[4, 6, 1, 0, 1, 4, 0, 3]",25,512,1
14,4,22.0,0.28104480000001786,"[4, 6, 1, 0, 1, 4, 0, 3]",25,512,1
15,8,25.0,0.30056929999955173,"[2, 6, 5, 0, 1, 4, 0, 3]",25,512,1
16,16,25.0,0.31722439999975904,"[2, 6, 5, 0, 1, 4, 0, 3]",25,512,1
17,32,26.0,0.33745269999963057,"[2, 7, 5, 0, 1, 4, 0, 3]",25,512,1
18,64,27.0,0.3580731999991258,"[2, 7, 5, 0, 1, 4, 6, 3]",25,512,1
19,128,27.0,0.3825894999990851,"[2, 7, 5, 0, 1, 4, 6, 3]",25,512,1
20,256,27.0,0.4334075999995548,"[2, 7, 5, 0, 1, 4, 6, 3]",25,512,1
21,512,27.0,0.5043905999991694,"[2, 7, 5, 0, 1, 4, 6, 3]",25,512,1
22,0,22.0,0.5300268999999389,"[6, 1, 1, 5, 0, 4, 0, 0]",25,512,2
23,1,22.0,0.5318042999988393,"[6, 1, 1, 5, 0, 4, 0, 0]",25,512,2
24,2,23.0,0.5808622000004107,"[6, 1, 1, 5, 0, 4, 6, 0]",25,512,2
25,4,25.0,0.6172133000000031,"[6, 1, 1, 5, 0, 4, 7, 0]",25,512,2
26,8,25.0,0.6405500999990181,"[6, 1, 1, 5, 0, 4, 7, 0]",25,512,2
27,16,25.0,0.6647302999990643,"[6, 1, 1, 5, 0, 4, 7, 0]",25,512,2
28,32,25.0,0.692939499998829,"[6, 1, 1, 5, 0, 4, 7, 0]",25,512,2
29,64,25.0,0.7444749999995111,"[6, 1, 1, 5, 0, 4, 7, 0]",25,512,2
30,128,26.0,0.7764308000005258,"[6, 1, 3, 5, 0, 4, 7, 0]",25,512,2
31,256,26.0,0.8230222000001959,"[6, 1, 3, 5, 0, 4, 7, 0]",25,512,2
32,512,26.0,0.9138067999992927,"[6, 1, 3, 5, 0, 4, 7, 0]",25,512,2
33,0,21.0,0.9444733000000269,"[3, 6, 1, 3, 3, 7, 7, 4]",25,512,3
34,1,21.0,0.9455674999990151,"[3, 6, 1, 3, 3, 7, 7, 4]",25,512,3
35,2,21.0,0.9751954999992449,"[3, 6, 1, 3, 3, 7, 7, 4]",25,512,3
36,4,23.0,1.0079040000000532,"[3, 6, 1, 3, 1, 7, 7, 4]",25,512,3
37,8,23.0,1.03600809999989,"[3, 6, 1, 3, 1, 7, 7, 4]",25,512,3
