,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.0003298999999969965,23.0,1,8192
1,1,0.0021899000003031688,23.0,1,8192
2,2,0.021050700001069345,24.0,1,8192
3,3,0.03659530000004452,23.0,1,8192
4,4,0.03700340000068536,23.0,1,8192
5,5,0.05247400000007474,23.0,1,8192
6,6,0.05270190000010189,23.0,1,8192
7,7,0.05290220000097179,23.0,1,8192
8,8,0.053096900001037284,23.0,1,8192
9,9,0.0669757000014215,23.0,1,8192
10,10,0.06730520000019169,23.0,1,8192
11,11,0.06749980000131472,23.0,1,8192
12,12,0.06769660000099975,23.0,1,8192
13,13,0.06800199999997858,23.0,1,8192
14,14,0.06820710000101826,22.0,1,8192
15,15,0.06848710000122082,22.0,1,8192
16,16,0.06867180000153894,22.0,1,8192
17,17,0.08266180000100576,23.0,1,8192
18,18,0.0830377000002045,24.0,1,8192
19,19,0.08339060000071186,24.0,1,8192
20,20,0.08360430000175256,23.0,1,8192
21,21,0.08395210000162479,24.0,1,8192
22,22,0.084290200000396,24.0,1,8192
23,23,0.08449380000092788,23.0,1,8192
24,24,0.0848745000002964,24.0,1,8192
25,25,0.08522880000055011,23.0,1,8192
26,26,0.08562150000034308,24.0,1,8192
27,27,0.08592280000084429,25.0,1,8192
28,28,0.08630440000160888,24.0,1,8192
29,29,0.08666610000000219,24.0,1,8192
30,30,0.08688680000159366,24.0,1,8192
31,31,0.08711650000077498,24.0,1,8192
32,32,0.08731520000037563,23.0,1,8192
33,33,0.10056660000009288,24.0,1,8192
34,34,0.10090990000026068,24.0,1,8192
35,35,0.101113600001554,24.0,1,8192
36,36,0.10143200000129582,24.0,1,8192
37,37,0.10163420000026235,24.0,1,8192
38,38,0.10201140000026498,24.0,1,8192
39,39,0.10223110000151792,24.0,1,8192
40,40,0.1025487000006251,24.0,1,8192
41,41,0.10287530000096012,24.0,1,8192
42,42,0.10307100000136415,24.0,1,8192
43,43,0.1032708000002458,24.0,1,8192
44,44,0.10346490000119957,24.0,1,8192
45,45,0.10379640000064683,24.0,1,8192
46,46,0.1040262000005896,24.0,1,8192
47,47,0.10424440000133472,24.0,1,8192
48,48,0.1044398000012734,24.0,1,8192
49,49,0.1046388000013394,22.0,1,8192
50,50,0.10499220000019704,22.0,1,8192
51,51,0.1052006000008987,22.0,1,8192
52,52,0.10538290000113193,22.0,1,8192
53,53,0.10559710000052291,21.0,1,8192
54,54,0.10592720000022382,21.0,1,8192
55,55,0.10625330000038957,23.0,1,8192
56,56,0.1065697000012733,23.0,1,8192
57,57,0.1067722000007052,23.0,1,8192
58,58,0.10701780000090366,22.0,1,8192
59,59,0.10736020000149438,23.0,1,8192
60,60,0.10772040000119887,23.0,1,8192
61,61,0.10794690000147966,23.0,1,8192
62,62,0.10815420000108134,23.0,1,8192
63,63,0.10847130000001926,23.0,1,8192
64,64,0.1086648000000423,23.0,1,8192
65,65,0.12379790000159119,22.0,1,8192
66,66,0.12395749999996042,23.0,1,8192
67,67,0.12408910000158357,23.0,1,8192
68,68,0.12417430000095919,23.0,1,8192
69,69,0.12425980000080017,23.0,1,8192
70,70,0.12439000000085798,23.0,1,8192
71,71,0.12447220000103698,23.0,1,8192
72,72,0.12455100000079256,23.0,1,8192
73,73,0.1246833000004699,23.0,1,8192
74,74,0.12476910000077623,23.0,1,8192
75,75,0.125187100000403,23.0,1,8192
76,76,0.12530690000130562,23.0,1,8192
77,77,0.1254060000010213,23.0,1,8192
78,78,0.12556540000150562,22.0,1,8192
79,79,0.12572300000101677,22.0,1,8192
80,80,0.1258748000000196,22.0,1,8192
81,81,0.12596560000019963,23.0,1,8192
82,82,0.12609700000029989,23.0,1,8192
83,83,0.12617640000098618,23.0,1,8192
