,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,23.0,0.0003298999999969965,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,1,0.99,0.001,0.9999966843996986,1,8192
1,1,23.0,0.0021899000003031688,"[5, 3, 4, 0, 7, 1, 3, 0]",geometric,1,0.99,0.001,0.9999779910117127,1,8192
2,2,23.0,0.021050700001069345,"[5, 3, 4, 0, 7, 1, 3, 0]",geometric,1,0.99,0.001,0.9997884557736739,1,8192
3,4,23.0,0.03700340000068536,"[5, 2, 4, 0, 6, 1, 3, 0]",geometric,1,0.99,0.001,0.9996281725472395,1,8192
4,8,23.0,0.053096900001037284,"[5, 2, 4, 0, 6, 1, 3, 0]",geometric,1,0.99,0.001,0.9994665006836054,1,8192
5,16,22.0,0.06867180000153894,"[5, 2, 1, 0, 6, 7, 3, 0]",geometric,1,0.99,0.001,0.9993100634620627,1,8192
6,32,24.0,0.08731520000037563,"[0, 2, 0, 7, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9991228378467171,1,8192
7,64,23.0,0.1086648000000423,"[7, 2, 6, 7, 5, 1, 0, 6]",geometric,1,0.99,0.001,0.9989084784080806,1,8192
8,128,25.0,0.13240089999999327,"[6, 3, 7, 0, 4, 2, 2, 5]",geometric,1,0.99,0.001,0.9986702114411208,1,8192
9,256,27.0,0.16436270000122022,"[6, 3, 7, 0, 4, 6, 1, 5]",geometric,1,0.99,0.001,0.9983494632995936,1,8192
10,512,28.0,0.21704510000017763,"[2, 5, 7, 0, 4, 6, 1, 3]",geometric,1,0.99,0.001,0.9978210013215617,1,8192
11,1024,28.0,0.3040930000006483,"[2, 5, 7, 0, 4, 6, 1, 3]",geometric,1,0.99,0.001,0.9969484287567185,1,8192
12,2048,28.0,0.3786606000012398,"[2, 5, 7, 0, 4, 6, 1, 3]",geometric,1,0.99,0.001,0.9962015661655582,1,8192
13,4096,28.0,0.3786606000012398,"[2, 5, 7, 0, 4, 6, 1, 3]",geometric,1,0.99,0.001,0.9962015661655582,1,8192
14,8192,28.0,0.3786606000012398,"[2, 5, 7, 0, 4, 6, 1, 3]",geometric,1,0.99,0.001,0.9962015661655582,1,8192
15,0,23.0,0.00013179999950807542,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,10,0.99,0.001,9.999986753666168,10,8192
16,1,23.0,0.0008218000002671033,"[5, 3, 4, 0, 7, 1, 3, 0]",geometric,10,0.99,0.001,9.999917406681014,10,8192
17,2,21.0,0.030123299999104347,"[5, 3, 4, 0, 5, 1, 3, 0]",geometric,10,0.99,0.001,9.996972965419326,10,8192
18,4,21.0,0.0585785000002943,"[5, 2, 4, 0, 5, 3, 3, 0]",geometric,10,0.99,0.001,9.99411439670823,10,8192
19,8,19.0,0.0828732999998465,"[5, 2, 4, 0, 2, 3, 0, 2]",geometric,10,0.99,0.001,9.991674422703834,10,8192
20,16,20.0,0.11410429999887128,"[0, 2, 4, 0, 2, 3, 4, 6]",geometric,10,0.99,0.001,9.988538707710756,10,8192
21,32,20.0,0.14344619999974384,"[1, 4, 3, 0, 2, 1, 7, 1]",geometric,10,0.99,0.001,9.9855935623806,10,8192
22,64,23.0,0.17114310000033583,"[2, 4, 1, 0, 4, 1, 6, 0]",geometric,10,0.99,0.001,9.982814327967013,10,8192
23,128,21.0,0.2057929000002332,"[2, 3, 7, 1, 4, 4, 4, 0]",geometric,10,0.99,0.001,9.979338496720004,10,8192
24,256,25.0,0.24338229999921168,"[6, 3, 5, 0, 7, 0, 4, 7]",geometric,10,0.99,0.001,9.975569153450989,10,8192
25,512,28.0,0.307584099999076,"[6, 2, 0, 5, 7, 4, 1, 3]",geometric,10,0.99,0.001,9.969134497125385,10,8192
26,1024,28.0,0.4032184999996389,"[6, 2, 0, 5, 7, 4, 1, 3]",geometric,10,0.99,0.001,9.959557188743721,10,8192
27,2048,28.0,0.5068154999989929,"[6, 2, 0, 5, 7, 4, 1, 3]",geometric,10,0.99,0.001,9.94919284727654,10,8192
28,4096,28.0,0.5068154999989929,"[6, 2, 0, 5, 7, 4, 1, 3]",geometric,10,0.99,0.001,9.94919284727654,10,8192
29,8192,28.0,0.5068154999989929,"[6, 2, 0, 5, 7, 4, 1, 3]",geometric,10,0.99,0.001,9.94919284727654,10,8192
30,0,23.0,0.0001250000004802132,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,50,0.99,0.001,49.99993718544013,50,8192
31,1,23.0,0.0017803000009735115,"[5, 3, 4, 0, 7, 1, 3, 0]",geometric,50,0.99,0.001,49.999105377357104,50,8192
