,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.003436900005908683,16173.0,1.0,1000
1,1,0.008048400006373413,16349.0,1.0,1000
2,2,0.008349199997610413,16349.0,1.0,1000
3,3,0.008578900000429712,16349.0,1.0,1000
4,4,0.008797600006801076,16559.0,1.0,1000
5,5,0.00928810000186786,16559.0,1.0,1000
6,6,0.009562300008838065,16559.0,1.0,1000
7,7,0.009790800002519973,16641.0,1.0,1000
8,8,0.010241100011626258,16641.0,1.0,1000
9,9,0.010649600008036941,16641.0,1.0,1000
10,10,0.01082470000255853,16641.0,1.0,1000
11,11,0.011291900009382516,16641.0,1.0,1000
12,12,0.011481499997898936,16641.0,1.0,1000
13,13,0.011704999997164123,16641.0,1.0,1000
14,14,0.011863400010042824,16949.0,1.0,1000
15,15,0.012092300006770529,16949.0,1.0,1000
16,16,0.01228330000594724,16949.0,1.0,1000
17,17,0.012463699997169897,16957.0,1.0,1000
18,18,0.012695800003712066,16957.0,1.0,1000
19,19,0.012861600000178441,16957.0,1.0,1000
20,20,0.013053100003162399,17068.0,1.0,1000
21,21,0.014353500009747222,17068.0,1.0,1000
22,22,0.014755299998796545,17068.0,1.0,1000
23,23,0.01494710000406485,17068.0,1.0,1000
24,24,0.015123700010008179,17068.0,1.0,1000
25,25,0.015932100010104477,17068.0,1.0,1000
26,26,0.01619609999761451,17068.0,1.0,1000
27,27,0.016407700008130632,17068.0,1.0,1000
28,28,0.01661900000181049,17224.0,1.0,1000
29,29,0.016877100002602674,17224.0,1.0,1000
30,30,0.017048900001100264,17326.0,1.0,1000
31,31,0.017291500000283122,17408.0,1.0,1000
32,32,0.018171600007917732,17408.0,1.0,1000
33,33,0.01846970000769943,17492.0,1.0,1000
34,34,0.01875070000824053,17500.0,1.0,1000
35,35,0.01902360000531189,17500.0,1.0,1000
36,36,0.019250800003646873,17500.0,1.0,1000
37,37,0.01945269999851007,17507.0,1.0,1000
38,38,0.01972810000006575,17699.0,1.0,1000
39,39,0.0200401000038255,17773.0,1.0,1000
40,40,0.020333300009951927,17773.0,1.0,1000
41,41,0.020540500001516193,17773.0,1.0,1000
42,42,0.020755500008817762,17773.0,1.0,1000
43,43,0.02117430001089815,17773.0,1.0,1000
44,44,0.02140050000161864,17773.0,1.0,1000
45,45,0.021618400001898408,17773.0,1.0,1000
46,46,0.021834200000739656,18085.0,1.0,1000
47,47,0.022097799999755807,18085.0,1.0,1000
48,48,0.022283700003754348,18177.0,1.0,1000
49,49,0.022547800006577745,18179.0,1.0,1000
50,50,0.02282270000432618,18179.0,1.0,1000
51,51,0.023589700009324588,18263.0,1.0,1000
52,52,0.02402000001166016,18302.0,1.0,1000
53,53,0.024701100002857856,18302.0,1.0,1000
54,54,0.02525940000487026,18353.0,1.0,1000
55,55,0.02594870000029914,18369.0,1.0,1000
56,56,0.026586799998767674,18369.0,1.0,1000
57,57,0.026953100008540787,18369.0,1.0,1000
58,58,0.027438999997684732,18369.0,1.0,1000
59,59,0.02790620000450872,18369.0,1.0,1000
60,60,0.02819409999938216,18369.0,1.0,1000
61,61,0.02841140000964515,18524.0,1.0,1000
62,62,0.028719699999783188,18524.0,1.0,1000
63,63,0.028915700007928535,18900.0,1.0,1000
64,64,0.029170800000429153,18900.0,1.0,1000
65,65,0.029343600006541237,18900.0,1.0,1000
66,66,0.02953729999717325,18900.0,1.0,1000
67,67,0.02997960000357125,18933.0,1.0,1000
68,68,0.030269399998360313,18933.0,1.0,1000
69,69,0.030471200007013977,18933.0,1.0,1000
70,70,0.030770299999858253,18933.0,1.0,1000
71,71,0.03096840000944212,18933.0,1.0,1000
72,72,0.03116250000311993,18933.0,1.0,1000
73,73,0.03134880001016427,18933.0,1.0,1000
74,74,0.03153639999800362,18973.0,1.0,1000
75,75,0.031745000000228174,19246.0,1.0,1000
76,76,0.03199190000304952,19285.0,1.0,1000
77,77,0.03222190000815317,19381.0,1.0,1000
78,78,0.03238910000072792,19381.0,1.0,1000
79,79,0.03249399999913294,19381.0,1.0,1000
80,80,0.03259750000142958,19741.0,1.0,1000
81,81,0.03276159999950323,19741.0,1.0,1000
82,82,0.03291340000578202,19741.0,1.0,1000
83,83,0.03305640000326093,19741.0,1.0,1000
84,84,0.033211000001756474,19741.0,1.0,1000
85,85,0.033343400005833246,19741.0,1.0,1000
86,86,0.03350920000229962,19741.0,1.0,1000
87,87,0.0336381000088295,19741.0,1.0,1000
88,88,0.03376370000478346,19852.0,1.0,1000
89,89,0.03395370001089759,20007.0,1.0,1000
90,90,0.03412140000727959,20007.0,1.0,1000
91,91,0.03424269999959506,20007.0,1.0,1000
92,92,0.034369600005447865,20007.0,1.0,1000
93,93,0.034568200004287064,20007.0,1.0,1000
94,94,0.03477480000583455,20007.0,1.0,1000
95,95,0.03490790000068955,20336.0,1.0,1000
96,96,0.03505800000857562,20462.0,1.0,1000
97,97,0.03538200000184588,20509.0,1.0,1000
98,98,0.03569360000255983,20509.0,1.0,1000
99,99,0.03590180000173859,20520.0,1.0,1000
100,100,0.03613760000735056,20520.0,1.0,1000
101,101,0.10761350000393577,20520.0,1.0,1000
102,102,0.10783550000633113,20520.0,1.0,1000
103,103,0.10802369999873918,20560.0,1.0,1000
104,104,0.10831110000435729,20560.0,1.0,1000
105,105,0.10853440000209957,20560.0,1.0,1000
106,106,0.10874029999831691,20610.0,1.0,1000
107,107,0.10945210000500083,20714.0,1.0,1000
108,108,0.1097835000109626,20714.0,1.0,1000
109,109,0.11041220001061447,20762.0,1.0,1000
110,110,0.11074679999728687,20762.0,1.0,1000
111,111,0.11093140000593849,20855.0,1.0,1000
112,112,0.1112730000022566,20855.0,1.0,1000
113,113,0.1114823000098113,20881.0,1.0,1000
114,114,0.11177070000849199,20921.0,1.0,1000
115,115,0.11207550000108313,20921.0,1.0,1000
116,116,0.11227409999992233,20921.0,1.0,1000
117,117,0.11245460000645835,20921.0,1.0,1000
118,118,0.11262430000351742,20921.0,1.0,1000
119,119,0.11282500000379514,20921.0,1.0,1000
120,120,0.11324269999749959,20925.0,1.0,1000
121,121,0.11356260000320617,21015.0,1.0,1000
122,122,0.11401889999979176,21015.0,1.0,1000
123,123,0.11435550000169314,21111.0,1.0,1000
124,124,0.11466530000325292,21111.0,1.0,1000
125,125,0.11490640000556596,21151.0,1.0,1000
126,126,0.1152260000089882,21151.0,1.0,1000
127,127,0.11542519999784417,21151.0,1.0,1000
128,128,0.11561110000184271,21151.0,1.0,1000
129,129,0.1158319000096526,21151.0,1.0,1000
130,130,0.116026800009422,21183.0,1.0,1000
131,131,0.11632210000243504,21191.0,1.0,1000
132,132,0.11659730000246782,21191.0,1.0,1000
133,133,0.11678380001103505,21266.0,1.0,1000
134,134,0.1170513000106439,21291.0,1.0,1000
135,135,0.11733510000340175,21291.0,1.0,1000
136,136,0.11751110000477638,21379.0,1.0,1000
137,137,0.11777720000827685,21379.0,1.0,1000
