,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,16173.0,0.003436900005908683,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",exponential,1.0,0.05,0.001,0.9998281697642109,1.0,1000
1,100,20520.0,0.03613760000735056,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 3, 0, 8, 6, 7, 5, 6, 2, 5, 7, 8, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.998194751424556,1.0,1000
2,1000,22458.0,0.23251830000663176,"[7, 8, 9, 5, 0, 8, 1, 8, 6, 9, 6, 7, 5, 5, 6, 2, 8, 9, 7, 9, 5, 9, 0, 7, 9, 9, 7, 6, 9, 3, 9, 6, 9, 8, 3, 9, 8, 7, 9, 7, 9, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 4, 5, 9, 2, 7, 7, 9, 8, 6, 9, 7, 8, 7, 4, 5, 9, 3, 7, 8, 9, 9, 7, 8, 9, 9, 6, 8, 8, 7, 7, 6, 1, 3, 0, 8, 6, 7, 9, 6, 2, 5, 7, 8, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 7, 9, 8, 8, 3, 6, 9, 8, 6, 3, 7, 2, 7, 8, 6, 5, 9, 2, 6, 8, 2, 7, 7, 1, 6, 7, 1, 7, 6, 4, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9884414048121042,1.0,1000
3,0,16173.0,0.00012650000280700624,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",exponential,1.0,0.05,0.001,0.9999936750198625,1.0,1000
4,100,20520.0,0.010842700008652173,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 3, 0, 8, 6, 7, 5, 6, 2, 5, 7, 8, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9994580119281938,1.0,1000
5,1000,22458.0,0.13203370000701398,"[7, 8, 9, 5, 0, 8, 1, 8, 6, 9, 6, 7, 5, 5, 6, 2, 8, 9, 7, 9, 5, 9, 0, 7, 9, 9, 7, 6, 9, 3, 9, 6, 9, 8, 3, 9, 8, 7, 9, 7, 9, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 4, 5, 9, 2, 7, 7, 9, 8, 6, 9, 7, 8, 7, 4, 5, 9, 3, 7, 8, 9, 9, 7, 8, 9, 9, 6, 8, 8, 7, 7, 6, 1, 3, 0, 8, 6, 7, 9, 6, 2, 5, 7, 8, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 7, 9, 8, 8, 3, 6, 9, 8, 6, 3, 7, 2, 7, 8, 6, 5, 9, 2, 6, 8, 2, 7, 7, 1, 6, 7, 1, 7, 6, 4, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9934200582484003,1.0,1000
6,0,16173.0,0.00010910000128205866,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",exponential,1.0,0.05,0.001,0.9999945450148143,1.0,1000
7,100,20520.0,0.010327500000130385,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 3, 0, 8, 6, 7, 5, 6, 2, 5, 7, 8, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9994837582986188,1.0,1000
8,1000,22458.0,0.13550329999998212,"[7, 8, 9, 5, 0, 8, 1, 8, 6, 9, 6, 7, 5, 5, 6, 2, 8, 9, 7, 9, 5, 9, 0, 7, 9, 9, 7, 6, 9, 3, 9, 6, 9, 8, 3, 9, 8, 7, 9, 7, 9, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 4, 5, 9, 2, 7, 7, 9, 8, 6, 9, 7, 8, 7, 4, 5, 9, 3, 7, 8, 9, 9, 7, 8, 9, 9, 6, 8, 8, 7, 7, 6, 1, 3, 0, 8, 6, 7, 9, 6, 2, 5, 7, 8, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 7, 9, 8, 8, 3, 6, 9, 8, 6, 3, 7, 2, 7, 8, 6, 5, 9, 2, 6, 8, 2, 7, 7, 1, 6, 7, 1, 7, 6, 4, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9932477346848227,1.0,1000
9,0,16173.0,0.00013099999341648072,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",exponential,1.0,0.05,0.001,0.9999934500217804,1.0,1000
