,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,16173.0,0.0003172000000120079,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",0,1000,0
1,100,19495.0,0.02410850000001119,"[7, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 7, 5, 5, 6, 2, 4, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 9, 9, 1, 0, 9, 9, 8, 5, 9, 8, 9, 7, 7, 5, 1, 9, 3, 7, 8, 9, 4, 3, 3, 9, 5, 7, 6, 9, 3, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 3, 0, 8, 7, 7, 5, 1, 8, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 9, 2, 0, 7, 1, 7, 9, 8, 7, 2, 1, 9, 9, 6, 5, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 4, 6, 9, 1, 2]",0,1000,0
2,1000,21115.0,0.6555823000000203,"[7, 8, 9, 6, 9, 0, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 9, 9, 1, 9, 9, 9, 8, 5, 9, 8, 9, 7, 7, 5, 1, 9, 3, 9, 9, 9, 4, 6, 3, 9, 5, 7, 6, 9, 3, 7, 9, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 4, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 8, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 5, 7, 7, 4, 9, 9, 7, 0, 7, 1, 7, 9, 8, 8, 2, 1, 9, 9, 6, 5, 7, 2, 7, 2, 6, 7, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 4, 6, 9, 9, 9]",0,1000,0
3,0,16173.0,0.00010389999999915744,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",5,1000,0
4,100,19495.0,0.007923000000005231,"[7, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 7, 5, 5, 6, 2, 4, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 9, 9, 1, 0, 9, 9, 8, 5, 9, 8, 9, 7, 7, 5, 1, 9, 3, 7, 8, 9, 4, 3, 3, 9, 5, 7, 6, 9, 3, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 3, 0, 8, 7, 7, 5, 1, 8, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 9, 2, 0, 7, 1, 7, 9, 8, 7, 2, 1, 9, 9, 6, 5, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 4, 6, 9, 1, 2]",5,1000,0
5,1000,21115.0,0.10216700000000856,"[7, 8, 9, 6, 9, 0, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 9, 9, 1, 9, 9, 9, 8, 5, 9, 8, 9, 7, 7, 5, 1, 9, 3, 9, 9, 9, 4, 6, 3, 9, 5, 7, 6, 9, 3, 7, 9, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 4, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 8, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 5, 7, 7, 4, 9, 9, 7, 0, 7, 1, 7, 9, 8, 8, 2, 1, 9, 9, 6, 5, 7, 2, 7, 2, 6, 7, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 4, 6, 9, 9, 9]",5,1000,0
6,0,15732.0,0.12619649999999183,"[3, 3, 0, 0, 3, 7, 4, 9, 8, 3, 5, 3, 1, 8, 7, 0, 6, 0, 0, 7, 1, 8, 7, 5, 8, 3, 1, 7, 6, 7, 9, 0, 0, 7, 5, 5, 0, 1, 6, 3, 0, 6, 2, 3, 6, 3, 6, 2, 0, 5, 7, 6, 2, 5, 5, 1, 4, 0, 3, 3, 5, 3, 4, 3, 0, 3, 8, 9, 0, 7, 6, 5, 0, 1, 4, 6, 7, 5, 5, 6, 5, 4, 4, 0, 8, 1, 3, 3, 0, 0, 0, 4, 6, 6, 3, 4, 9, 6, 7, 8, 7, 3, 3, 1, 2, 2, 3, 5, 7, 0, 1, 5, 5, 7, 9, 2, 7, 8, 6, 3, 2, 5, 9, 2, 6, 5, 4, 6, 9, 6, 0, 9, 3, 1, 8, 0, 4, 7, 2, 3]",5,1000,1
7,100,19357.0,0.14126469999999358,"[3, 3, 1, 0, 3, 7, 4, 9, 8, 7, 7, 4, 4, 8, 7, 6, 9, 0, 6, 7, 2, 8, 7, 5, 8, 3, 3, 7, 6, 7, 9, 8, 1, 7, 8, 5, 9, 1, 6, 3, 0, 9, 6, 3, 9, 3, 6, 4, 0, 5, 7, 6, 2, 7, 5, 1, 4, 5, 8, 4, 9, 3, 4, 3, 1, 3, 8, 9, 4, 7, 6, 9, 8, 6, 9, 6, 7, 5, 5, 6, 5, 4, 4, 6, 8, 9, 6, 9, 1, 0, 5, 4, 7, 6, 3, 4, 9, 6, 7, 8, 7, 3, 3, 3, 2, 2, 3, 7, 7, 0, 1, 8, 8, 8, 9, 5, 7, 8, 6, 3, 2, 5, 9, 9, 6, 5, 4, 6, 9, 6, 5, 9, 3, 2, 8, 0, 4, 7, 9, 3]",5,1000,1
8,1000,21433.0,0.3063109999999938,"[7, 9, 1, 0, 3, 7, 4, 9, 8, 7, 7, 4, 4, 8, 7, 6, 9, 0, 6, 7, 2, 8, 7, 8, 8, 3, 3, 7, 6, 7, 9, 8, 1, 7, 9, 5, 9, 6, 6, 4, 0, 9, 6, 3, 9, 9, 6, 4, 2, 9, 9, 6, 6, 8, 9, 1, 8, 7, 8, 4, 9, 3, 4, 3, 4, 3, 8, 9, 4, 7, 6, 9, 8, 6, 9, 6, 9, 8, 9, 6, 5, 6, 8, 6, 8, 9, 6, 9, 1, 0, 9, 9, 7, 6, 7, 4, 9, 6, 7, 8, 7, 3, 3, 3, 2, 3, 8, 7, 7, 0, 1, 8, 8, 8, 9, 5, 7, 8, 6, 3, 2, 8, 9, 9, 6, 5, 4, 6, 9, 7, 5, 9, 3, 2, 8, 0, 4, 7, 9, 5]",5,1000,1
9,0,15044.0,0.3490126000000089,"[9, 6, 5, 5, 3, 1, 3, 4, 9, 1, 2, 3, 6, 6, 5, 2, 0, 5, 0, 1, 5, 3, 9, 5, 9, 6, 6, 0, 3, 5, 0, 0, 5, 2, 5, 0, 1, 7, 9, 9, 7, 8, 2, 8, 8, 2, 1, 7, 2, 9, 3, 6, 4, 4, 5, 6, 9, 1, 5, 1, 4, 5, 7, 2, 6, 2, 2, 2, 4, 2, 9, 8, 1, 4, 6, 2, 5, 1, 6, 6, 5, 9, 4, 0, 0, 7, 3, 3, 5, 6, 3, 1, 6, 0, 3, 8, 1, 9, 7, 8, 5, 6, 3, 2, 3, 9, 5, 9, 2, 6, 6, 2, 2, 5, 8, 6, 8, 5, 7, 6, 0, 6, 4, 4, 4, 2, 3, 4, 2, 5, 7, 6, 4, 8, 4, 7, 2, 8, 4, 0]",5,1000,2
