,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,16173.0,0.0002602000000706539,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",geometric,1,0.99,0.001,0.9999973849060295,1,1000
1,100,20518.0,0.024552500000027067,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 3, 0, 8, 6, 7, 5, 6, 2, 5, 7, 6, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",geometric,1,0.99,0.001,0.9997532695719162,1,1000
2,1000,22368.0,0.23669340000003558,"[7, 8, 9, 5, 0, 8, 1, 8, 6, 9, 6, 7, 5, 5, 6, 2, 8, 9, 7, 9, 5, 9, 0, 7, 9, 9, 7, 6, 9, 3, 9, 6, 9, 8, 3, 9, 8, 7, 9, 7, 9, 1, 9, 3, 9, 8, 9, 8, 7, 3, 9, 5, 2, 5, 9, 2, 7, 7, 9, 8, 6, 9, 7, 7, 7, 4, 5, 9, 3, 7, 8, 8, 9, 7, 7, 9, 9, 6, 8, 8, 7, 7, 6, 1, 3, 0, 8, 6, 7, 9, 6, 2, 5, 7, 6, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 7, 9, 8, 8, 3, 1, 9, 8, 6, 3, 7, 2, 7, 8, 6, 5, 9, 2, 6, 8, 2, 7, 7, 8, 6, 7, 1, 7, 6, 4, 9, 5, 1, 9]",geometric,1,0.99,0.001,0.9976239790527025,1,1000
3,0,16173.0,0.0001469999999699212,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",geometric,10,0.99,0.001,9.999985226017213,10,1000
4,100,20493.0,0.011383499999965352,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 7, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 2, 0, 8, 6, 7, 5, 6, 2, 5, 7, 6, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",geometric,10,0.99,0.001,9.998855985461574,10,1000
5,1000,22789.0,0.12356019999992895,"[7, 8, 9, 6, 0, 8, 1, 8, 6, 9, 6, 7, 5, 5, 6, 2, 8, 9, 7, 9, 5, 9, 0, 7, 9, 9, 7, 6, 9, 3, 9, 6, 9, 8, 3, 9, 8, 6, 9, 6, 9, 1, 9, 3, 9, 7, 9, 8, 7, 3, 9, 5, 2, 5, 9, 2, 7, 7, 9, 8, 6, 9, 7, 8, 7, 4, 5, 9, 3, 7, 8, 8, 9, 7, 8, 9, 9, 6, 8, 8, 7, 7, 6, 1, 2, 0, 8, 6, 7, 9, 6, 2, 5, 7, 6, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 7, 9, 8, 8, 3, 9, 9, 8, 6, 3, 7, 2, 7, 8, 6, 5, 9, 2, 6, 8, 2, 7, 7, 8, 6, 7, 1, 7, 6, 4, 9, 5, 1, 9]",geometric,10,0.99,0.001,9.9875894923313,10,1000
6,0,16173.0,0.00010190000000420696,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",geometric,50,0.99,0.001,49.999948793565046,50,1000
7,100,20298.0,0.011403200000017932,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 6, 4, 9, 0, 7, 9, 9, 7, 5, 9, 1, 9, 4, 9, 8, 3, 9, 8, 1, 7, 7, 5, 1, 9, 1, 9, 7, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 7, 6, 9, 3, 7, 7, 4, 5, 9, 3, 4, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 2, 0, 8, 6, 7, 5, 6, 2, 5, 7, 0, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 0, 0, 1, 5, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",geometric,50,0.99,0.001,49.99427002886054,50,1000
8,1000,23180.0,0.1545902999999953,"[7, 9, 9, 5, 0, 8, 1, 8, 6, 9, 9, 7, 5, 5, 6, 2, 8, 9, 7, 6, 5, 9, 0, 7, 9, 9, 7, 5, 9, 3, 9, 6, 9, 8, 3, 9, 5, 1, 9, 3, 9, 1, 9, 6, 9, 9, 9, 8, 7, 3, 9, 8, 4, 5, 9, 2, 9, 7, 9, 7, 6, 9, 7, 8, 7, 4, 5, 9, 7, 7, 8, 9, 9, 7, 8, 9, 9, 6, 8, 8, 7, 7, 6, 1, 2, 0, 8, 6, 7, 9, 6, 2, 5, 7, 2, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 9, 9, 8, 8, 3, 9, 5, 8, 6, 2, 8, 3, 5, 8, 6, 5, 9, 2, 6, 8, 2, 8, 7, 8, 6, 8, 1, 7, 6, 4, 9, 5, 1, 9]",geometric,50,0.99,0.001,49.92237609540641,50,1000
9,0,16173.0,0.0001700000000255386,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",geometric,100,0.99,0.001,99.99982914443642,100,1000
