,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.0036702000070363283,23.0,1.0,8192
1,1,0.017828600000939332,23.0,1.0,8192
2,2,0.10106149999774061,24.0,1.0,8192
3,3,0.11557619999803137,24.0,1.0,8192
4,4,0.11575690000609029,24.0,1.0,8192
5,5,0.12839320000784937,24.0,1.0,8192
6,6,0.12863960000686347,24.0,1.0,8192
7,7,0.12877239999943413,24.0,1.0,8192
8,8,0.1289009000029182,24.0,1.0,8192
9,9,0.1417373000003863,24.0,1.0,8192
10,10,0.14186840000911616,24.0,1.0,8192
11,11,0.14194320001115557,24.0,1.0,8192
12,12,0.14201470000261907,24.0,1.0,8192
13,13,0.14208869999856688,24.0,1.0,8192
14,14,0.1421565000055125,24.0,1.0,8192
15,15,0.14222410001093522,24.0,1.0,8192
16,16,0.1422891999973217,24.0,1.0,8192
17,17,0.15424370000255294,25.0,1.0,8192
18,18,0.15460300000268035,25.0,1.0,8192
19,19,0.1548075000027893,25.0,1.0,8192
20,20,0.15499609999824315,25.0,1.0,8192
21,21,0.1551622000115458,25.0,1.0,8192
22,22,0.1552640000008978,25.0,1.0,8192
23,23,0.15538609999930486,25.0,1.0,8192
24,24,0.15555330000643153,25.0,1.0,8192
25,25,0.15572599999723025,25.0,1.0,8192
26,26,0.1558940000104485,25.0,1.0,8192
27,27,0.1560724000009941,25.0,1.0,8192
28,28,0.15616220000083558,25.0,1.0,8192
29,29,0.15632239999831654,25.0,1.0,8192
30,30,0.15645360000780784,25.0,1.0,8192
31,31,0.15654720000748057,25.0,1.0,8192
32,32,0.15662400001019705,25.0,1.0,8192
33,33,0.16640190000180155,25.0,1.0,8192
34,34,0.16655850000097416,25.0,1.0,8192
35,35,0.166683200004627,25.0,1.0,8192
36,36,0.1669465000013588,25.0,1.0,8192
37,37,0.16714990000764374,26.0,1.0,8192
38,38,0.1675807999999961,26.0,1.0,8192
39,39,0.1678855000063777,26.0,1.0,8192
40,40,0.1688821999996435,26.0,1.0,8192
41,41,0.16913650000060443,26.0,1.0,8192
42,42,0.16931150000891648,26.0,1.0,8192
43,43,0.16948470000352245,26.0,1.0,8192
44,44,0.1698039000038989,26.0,1.0,8192
