,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,23.0,0.0036702000070363283,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9998165068365784,1.0,8192
1,1,23.0,0.017828600000939332,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9991089672056397,1.0,8192
2,2,23.0,0.10106149999774061,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9949596703068898,1.0,8192
3,4,24.0,0.11575690000609029,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9942288723066255,1.0,8192
4,8,24.0,0.1289009000029182,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.993575679754486,1.0,8192
5,16,24.0,0.1422891999973217,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.9929107878602339,1.0,8192
6,32,25.0,0.15662400001019705,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9921993839577754,1.0,8192
7,64,26.0,0.17384170000150334,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9913455819569468,1.0,8192
8,128,26.0,0.19426560000283644,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9903337415364356,1.0,8192
9,256,26.0,0.21561140000994783,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.9892773320849814,1.0,8192
10,512,28.0,0.25300609999976587,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9874293737675087,1.0,8192
11,1024,28.0,0.33207940000284,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9835331161363848,1.0,8192
12,2048,28.0,0.3920836000033887,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9805867323411545,1.0,8192
13,4096,28.0,0.3920836000033887,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9805867323411545,1.0,8192
14,8192,28.0,0.3920836000033887,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9805867323411545,1.0,8192
15,0,23.0,0.00013329999637790024,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9999933350223922,1.0,8192
16,1,23.0,0.0017575999954715371,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999121238615605,1.0,8192
17,2,23.0,0.030050899993511848,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9984985832559068,1.0,8192
18,4,24.0,0.05650569999124855,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9971787023620736,1.0,8192
19,8,24.0,0.08350079999945592,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9958336633630187,1.0,8192
20,16,24.0,0.1100558999896748,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.99451231764362,1.0,8192
21,32,25.0,0.12979059999634046,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9935314815237853,1.0,8192
22,64,26.0,0.15395969999372028,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9923315686038202,1.0,8192
23,128,26.0,0.1808833999966737,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9909966054862582,1.0,8192
24,256,26.0,0.21869699998933356,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.9891247181521483,1.0,8192
25,512,28.0,0.2906631999940146,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9855719366253924,1.0,8192
26,1024,28.0,0.3641377000021748,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9819578589905003,1.0,8192
27,2048,28.0,0.4254679000005126,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9789512875930568,1.0,8192
28,4096,28.0,0.4254679000005126,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9789512875930568,1.0,8192
29,8192,28.0,0.4254679000005126,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9789512875930568,1.0,8192
30,0,23.0,0.00012070000229869038,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9999939650180957,1.0,8192
31,1,23.0,0.0017791999998735264,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999110439568298,1.0,8192
