,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,23.0,0.00025090000000105306,"[5, 3, 4, 0, 7, 1, 3, 5]",0,100,0
1,50,26.0,0.024750100000002107,"[5, 2, 4, 7, 7, 1, 3, 6]",0,100,0
2,100,28.0,1.1718885000000014,"[5, 2, 0, 7, 4, 1, 3, 6]",0,100,0
3,0,23.0,0.00021429999999966753,"[5, 3, 4, 0, 7, 1, 3, 5]",10,100,0
4,50,26.0,0.012298999999998728,"[5, 2, 4, 7, 7, 1, 3, 6]",10,100,0
5,100,28.0,0.04076069999999987,"[5, 2, 0, 7, 4, 1, 3, 6]",10,100,0
6,0,24.0,0.06282170000000065,"[5, 0, 3, 7, 0, 3, 1, 2]",10,100,1
7,50,26.0,0.07943609999999879,"[6, 0, 3, 7, 0, 3, 1, 4]",10,100,1
8,100,26.0,0.11362889999999837,"[6, 0, 3, 7, 0, 3, 1, 4]",10,100,1
9,0,21.0,0.1379766999999994,"[0, 2, 4, 6, 7, 0, 6, 2]",10,100,2
10,50,26.0,0.1520417000000016,"[1, 2, 4, 6, 3, 0, 4, 7]",10,100,2
11,100,26.0,0.19560050000000118,"[1, 2, 4, 6, 3, 0, 4, 7]",10,100,2
12,0,18.0,0.22759130000000027,"[3, 4, 0, 6, 7, 5, 3, 5]",10,100,3
13,50,26.0,0.24385930000000045,"[3, 5, 0, 2, 6, 5, 1, 4]",10,100,3
14,100,27.0,0.29776550000000057,"[3, 5, 0, 2, 6, 7, 1, 4]",10,100,3
15,0,20.0,0.33005319999999827,"[5, 2, 5, 4, 7, 4, 7, 1]",10,100,4
16,50,25.0,0.34667719999999846,"[3, 1, 5, 2, 6, 4, 7, 1]",10,100,4
17,100,25.0,0.40587760000000017,"[3, 1, 5, 2, 6, 4, 7, 1]",10,100,4
18,0,25.0,0.48320070000000115,"[1, 3, 6, 0, 7, 2, 7, 5]",10,100,5
19,50,27.0,0.5094624000000003,"[1, 3, 6, 2, 7, 2, 0, 5]",10,100,5
20,100,27.0,0.5953790000000012,"[1, 3, 6, 2, 7, 2, 0, 5]",10,100,5
21,0,22.0,0.6840384999999998,"[2, 6, 5, 0, 7, 5, 7, 4]",10,100,6
22,50,25.0,0.7048039999999993,"[2, 6, 6, 0, 3, 5, 7, 4]",10,100,6
23,100,26.0,0.7983060000000002,"[2, 6, 6, 1, 3, 5, 7, 4]",10,100,6
24,0,23.0,0.9022247000000014,"[5, 0, 2, 4, 5, 2, 6, 3]",10,100,7
25,50,24.0,0.9211294999999993,"[5, 0, 2, 4, 5, 1, 6, 3]",10,100,7
26,100,24.0,0.9969624999999986,"[5, 0, 2, 4, 5, 1, 6, 3]",10,100,7
27,0,22.0,1.0574620999999986,"[1, 7, 1, 1, 7, 6, 0, 2]",10,100,8
28,50,25.0,1.0830139999999986,"[2, 7, 1, 1, 3, 6, 0, 2]",10,100,8
29,100,26.0,1.146764300000001,"[2, 7, 5, 1, 3, 6, 0, 2]",10,100,8
30,0,20.0,1.209816,"[7, 6, 7, 7, 4, 3, 0, 3]",10,100,9
31,50,26.0,1.2334429,"[6, 6, 5, 1, 4, 0, 7, 3]",10,100,9
32,100,26.0,1.297906300000001,"[6, 6, 5, 1, 4, 0, 7, 3]",10,100,9
33,0,18.0,1.3447204,"[1, 2, 6, 6, 3, 2, 1, 0]",10,100,10
34,50,26.0,1.3654456999999987,"[1, 5, 7, 6, 4, 2, 5, 3]",10,100,10
35,100,27.0,1.4802910999999987,"[1, 5, 0, 6, 4, 2, 5, 3]",10,100,10
